"","logFC","logCPM","PValue","FDR"
"ENSG00000072182",1.79024453219961,2.75808598106693,1.43655766573771e-11,1.83920192511749e-09
"ENSG00000258654",1.40080295372867,3.12245878814062,1.5045154653956e-11,1.91532468823498e-09
"ENSG00000104067",-1.87791054181953,7.42741990406485,1.53455759918331e-11,1.94259474058413e-09
"ENSG00000008405",-1.55791520110431,4.51304347566107,1.56958109095606e-11,1.97583076662084e-09
"ENSG00000283234",2.30886498655934,0.0347367716759323,1.59892567798902e-11,1.9910979182682e-09
"ENSG00000081248",1.39181751529142,3.38405680284146,1.59938189857784e-11,1.9910979182682e-09
"ENSG00000198933",1.44210552715033,3.28419809190862,1.64321752703058e-11,2.0344296998121e-09
"ENSG00000181652",1.706994153363,1.58211335206196,1.68377581331086e-11,2.0732524809472e-09
"ENSG00000146166",-1.72021681344125,4.84443714656711,1.79447496458675e-11,2.18602316481846e-09
"ENSG00000102471",-1.92295058824203,5.95288732994936,1.79476450313503e-11,2.18602316481846e-09
"ENSG00000273937",-1.57686435829512,2.89064360779069,1.91399860968261e-11,2.31871670279453e-09
"ENSG00000259001",-3.58440232594046,4.65313161630303,1.93923653403126e-11,2.33596413106715e-09
"ENSG00000003137",1.80412960697418,1.78016047613922,1.94896931895719e-11,2.33596413106715e-09
"ENSG00000136527",-1.88466869350679,4.98831341115826,1.99152444285479e-11,2.37433969687022e-09
"ENSG00000122375",1.97352633622887,1.56711758736939,2.01858958224733e-11,2.39394100298837e-09
"ENSG00000189120",1.47712448171799,2.320667953325,2.06697724009873e-11,2.41832529673266e-09
"ENSG00000264813",1.60385781318878,2.46753887541505,2.06912406556631e-11,2.41832529673266e-09
"ENSG00000257008",2.21144521061288,0.750724636895753,2.07134772231573e-11,2.41832529673266e-09
"ENSG00000156261",-1.46238367863161,3.84232967733562,2.13570804566308e-11,2.48061388623331e-09
"ENSG00000138771",-2.14765925840586,8.06869954857909,2.21901017506056e-11,2.56415160382767e-09
"ENSG00000124664",1.80970013376249,1.86416885399291,2.26498321177889e-11,2.60392177097008e-09
"ENSG00000261604",-1.45559874551449,2.31143835586783,2.28629434715822e-11,2.61507972205666e-09
"ENSG00000204175",1.81495648152351,1.68815972410333,2.33897931377307e-11,2.66182933723478e-09
"ENSG00000240567",-1.53227834835504,2.29821679117048,2.45216357746599e-11,2.77661316035383e-09
"ENSG00000166159",1.8877513253456,1.15779176461864,2.47095439649288e-11,2.78169252979289e-09
"ENSG00000277209",-3.5982006783411,4.65065162078709,2.48133936221706e-11,2.78169252979289e-09
"ENSG00000099949",1.56453774002316,2.33417018257546,2.5852204011322e-11,2.88380055934217e-09
"ENSG00000099365",1.75504478088473,2.28267516930034,2.68599828234802e-11,2.9814580934063e-09
"ENSG00000204393",1.41778266560416,3.23733588731902,2.84384801899727e-11,3.14119742216007e-09
"ENSG00000138316",1.2835867580938,4.62608611898066,2.95813954515345e-11,3.2509747359268e-09
"ENSG00000130935",-1.49186882165241,3.88160676632346,2.97208891670403e-11,3.2509747359268e-09
"ENSG00000228716",-1.37846450595527,6.09097164279016,3.09586941840815e-11,3.37001089879182e-09
"ENSG00000282885",-3.31732131817079,7.60894362033458,3.15347269664311e-11,3.41621155160862e-09
"ENSG00000110400",1.39156698595877,5.08689641206891,3.20529857709566e-11,3.45574128410031e-09
"ENSG00000144381",-1.52344824955228,5.16956897728462,3.24636351333238e-11,3.48334804980564e-09
"ENSG00000121753",1.80919452232121,2.45743514975469,3.28746286279438e-11,3.51072989039553e-09
"ENSG00000131759",1.40458312233387,3.62318506292492,3.32904986632814e-11,3.53837172820623e-09
"ENSG00000100650",-1.55231424094927,4.92974149167238,3.36369916635904e-11,3.55841470965109e-09
"ENSG00000179044",1.80558724687516,1.19546847680798,3.38059480198641e-11,3.55957676042803e-09
"ENSG00000276197",-1.55165604614835,3.0773577793757,3.43582416109238e-11,3.58650568553647e-09
"ENSG00000181378",1.43175003268999,2.55340183368409,3.43800305363634e-11,3.58650568553647e-09
"ENSG00000083896",-1.49270586996937,4.75010803015034,3.49321866558715e-11,3.62612659960035e-09
"ENSG00000249329",2.07934922902056,0.359607288865124,3.50816845831836e-11,3.62612659960035e-09
"ENSG00000096384",-1.68262860611687,6.16987215269261,3.68464452403904e-11,3.79114589315853e-09
"ENSG00000236544",1.45495770734286,2.62699811328572,3.73914474570320e-11,3.8297340252241e-09
"ENSG00000127152",1.28788536354258,3.56286244394703,3.8394243739305e-11,3.90018485808983e-09
"ENSG00000181291",1.41765205632937,3.2328186254855,3.84254665821659e-11,3.90018485808983e-09
"ENSG00000115155",1.37025449270868,3.98091846197597,3.91240687049154e-11,3.95328538173928e-09
"ENSG00000154025",1.48985207295629,3.84819760958672,4.06764743211673e-11,4.09179908874492e-09
"ENSG00000131620",1.39525927378076,5.05078203447091,4.19511401692078e-11,4.20126685081226e-09
"ENSG00000087074",-1.67027411001761,3.84149654523901,4.31452705712284e-11,4.30173620257296e-09
"ENSG00000248484",1.63804242706663,1.70121181755413,4.43173145853162e-11,4.39343192227999e-09
"ENSG00000114853",1.90329332768991,1.01240030660083,4.44992766334529e-11,4.39343192227999e-09
"ENSG00000135835",1.52764850752455,2.46512541099827,4.46498872854089e-11,4.39343192227999e-09
"ENSG00000010327",1.76159297674893,2.91081611988125,4.49868288267719e-11,4.40734006066805e-09
"ENSG00000109101",1.6021858835352,1.64322062460515,4.96911906157159e-11,4.84714977551484e-09
"ENSG00000274012",-3.33036413190762,7.60651563911252,5.05670947260503e-11,4.91132907526763e-09
"ENSG00000167994",1.62892873251697,2.95516541720706,5.3360899988004e-11,5.14604781950451e-09
"ENSG00000173826",1.57374861901907,2.43792079488156,5.34405178965986e-11,5.14604781950451e-09
"ENSG00000169783",1.3538264412106,4.64883399793914,5.52849183725613e-11,5.30100027952733e-09
"ENSG00000159307",1.54469812805078,4.70162613748858,5.57883520048615e-11,5.326605659854e-09
"ENSG00000254229",1.91896859296177,0.931220313268877,5.9038823989387e-11,5.61317224030741e-09
"ENSG00000230202",-2.0609264613077,0.774427972405746,5.95648819745452e-11,5.63939279635473e-09
"ENSG00000114923",1.76672294123264,1.63048616188564,6.06075648675549e-11,5.71410150276407e-09
"ENSG00000006071",1.21764438253985,3.95617198751039,6.21091136838411e-11,5.82239094638201e-09
"ENSG00000115085",1.5573760476652,2.08389305926984,6.22729427097175e-11,5.82239094638201e-09
"ENSG00000196428",-1.8489635029392,6.29375025679997,6.40403362833899e-11,5.96289627055217e-09
"ENSG00000143126",1.92399838007525,2.02053722367868,6.45637269919897e-11,5.9868907831708e-09
"ENSG00000124140",1.2575440612943,3.52942962374736,6.79721819314778e-11,6.27711957156553e-09
"ENSG00000001617",1.67662098941505,2.99780272103229,7.00269101243856e-11,6.44035368251817e-09
"ENSG00000167800",1.74147376141758,1.68315357221308,7.05700869344739e-11,6.44035368251817e-09
"ENSG00000112139",1.29833102643804,3.40738450741943,7.05972289345399e-11,6.44035368251817e-09
"ENSG00000149654",1.28233926140497,5.22551302243465,7.24395593262439e-11,6.58177657378328e-09
"ENSG00000221823",-1.56971600767344,4.29811503318964,7.84078367650932e-11,7.09543689087488e-09
"ENSG00000167434",1.69770831388375,1.76216313727218,7.88220200361044e-11,7.10438630989416e-09
"ENSG00000188549",1.80859774080673,0.825741305849106,7.9472172158578e-11,7.13444802888142e-09
"ENSG00000119801",-1.33446345533267,2.82003635814653,8.15126738433066e-11,7.28859158615567e-09
"ENSG00000128710",2.04106169557845,0.791937686684943,8.33366766272672e-11,7.422234523487e-09
"ENSG00000065978",-1.53589242651151,4.53319120614917,8.96255579752392e-11,7.95091613329160e-09
"ENSG00000102309",-1.40536306024378,4.86010634755745,9.08650876585908e-11,8.01619404998854e-09
"ENSG00000086544",-1.86242508099683,4.60522887094913,9.10729009362742e-11,8.01619404998854e-09
"ENSG00000187595",1.33910964433794,3.72585452521769,9.99318039681138e-11,8.70347713329489e-09
"ENSG00000130540",1.50430548309549,2.66181317044233,1.00017044648919e-10,8.70347713329489e-09
"ENSG00000182218",1.47367155814436,2.45818207888535,1.00039967049367e-10,8.70347713329489e-09
"ENSG00000203999",1.34663571212056,2.48344894467494,1.00977493103813e-10,8.7512532773393e-09
"ENSG00000125691",-1.97559732017581,5.21048139697264,1.01914510706026e-10,8.79861942428692e-09
"ENSG00000235016",1.4645195622358,2.93946192665369,1.02819119470066e-10,8.84283671381298e-09
"ENSG00000100228",1.74272442412776,1.78069125497584,1.04441643683062e-10,8.94822645289135e-09
"ENSG00000116396",1.36708957562502,2.6177577500904,1.05273275016935e-10,8.98531328013859e-09
"ENSG00000122756",1.43163034747368,2.20184277887487,1.06243849739065e-10,9.03393458932208e-09
"ENSG00000165591",-1.39116732120497,5.03606959918995,1.0712434919334e-10,9.04500639986113e-09
"ENSG00000124225",1.24118908919469,4.30141364679957,1.07176883183017e-10,9.04500639986113e-09
"ENSG00000163520",1.28066943856888,3.8095144901456,1.07690888566639e-10,9.05447310474656e-09
"ENSG00000108379",1.28692911690433,3.63114862840598,1.10164899786989e-10,9.22805088067e-09
"ENSG00000183346",-1.29028815671665,5.02415729312883,1.11864753193504e-10,9.33573512484897e-09
"ENSG00000175264",1.54763616571296,1.86186985713267,1.13905727518198e-10,9.44728645838112e-09
"ENSG00000250770",1.40080370104365,3.96129948094821,1.14039937721549e-10,9.44728645838112e-09
"ENSG00000171551",1.98272383450595,0.685988109932239,1.16214362284872e-10,9.5755593595551e-09
"ENSG00000140961",1.51623970326793,2.10801997114905,1.16438257867044e-10,9.5755593595551e-09
"ENSG00000034152",1.59177758050645,3.36341349457164,1.1694996869617e-10,9.58266779865748e-09
"ENSG00000004660",1.62219914071913,2.16034023287894,1.23131857867852e-10,1.00423625843692e-08
"ENSG00000186732",1.28302331118275,3.74431539974587,1.2345157927796e-10,1.00423625843692e-08
"ENSG00000070808",1.38089799012055,3.51292875735166,1.25545687900437e-10,1.01759747678437e-08
"ENSG00000232396",1.95359892719408,1.32318172275957,1.31234941650932e-10,1.05989854488188e-08
"ENSG00000166558",1.44874386699672,2.84050970027735,1.35799717989034e-10,1.09284823051675e-08
"ENSG00000167100",1.4888511872901,3.2319407696655,1.37258073837158e-10,1.10065344404722e-08
"ENSG00000280832",1.40774562535928,2.33465785453463,1.40256159879997e-10,1.12070640091347e-08
"ENSG00000168374",-1.73995972431025,4.39086340726988,1.42602359746004e-10,1.13542719864194e-08
"ENSG00000168564",-1.63419422488441,1.72733720617983,1.45627220334342e-10,1.15542892809638e-08
"ENSG00000027644",1.78100112137056,1.02559122025639,1.5124437646157e-10,1.19578580168721e-08
"ENSG00000230606",-1.43317894895112,2.7598114279374,1.60496633148334e-10,1.26450022193406e-08
"ENSG00000102081",-1.51825517780291,3.54637567586124,1.62045055877193e-10,1.27225130455777e-08
"ENSG00000204248",1.56133038672154,2.43843341987281,1.64088080100101e-10,1.28092022276743e-08
