"number","logFC","logCPM","PValue","FDR","GeneID"
"1162",-0.21145526735517,11.3816892006123,0.187805820455604,1,"lmo2660"
"1164",-0.0552702084370545,9.73297458580125,0.936216037322875,1,"lmo2661"
"1165",-0.0431494468215774,9.56852813442401,0.729599462474089,1,"lmo2662"
"1166",-0.0874811425718919,10.82316556515,0.442689218845368,1,"lmo2664"
"1168",0.0832849646829474,9.88397958463083,0.245534057365145,1,"lmo2671"
"117",-0.0625859170875907,9.71218092672462,0.709109673153036,1,"lmo0247"
"1170",0.0216605069900269,9.68804888005855,1,1,"lmo2675"
"1171",-0.231679669193747,11.4307638861185,0.550564113245184,1,"lmo2676"
"1172",-0.0446333370970803,12.0523899901696,0.83718987782576,1,"lmo2679"
"1174",-0.130685171720478,11.7449685805131,0.448894901942949,1,"kdpB"
"1175",-0.181363438444726,11.8668663312534,0.31585503704973,1,"kdpA"
"1177",-0.182780342100049,12.0910300270223,0.322037051377902,1,"lmo2689"
"1179",-0.0599942436834983,10.0589932762327,0.192703133829512,1,"lmo2696"
"118",-0.0185720926219789,10.0148964075917,0.569940963962872,1,"lmo0252"
"1181",0.0971824009556153,9.42534934754375,0.517925250649818,1,"lmo2707"
"1183",0.148009921013639,8.48403655241536,0.0705644466038546,1,"cydD"
"1186",-0.104468643990864,11.2912667622008,0.471771270458793,1,"cydA"
"1188",0.0276550465413604,10.0204753551862,0.254484850388178,1,"lmo2726"
"1190",0.100971858473757,9.8994410029242,0.28756555743134,1,"lmo2728"
"1192",0.08112884402328,8.79040929111086,0.469396256145367,1,"lmo2729"
"1193",-0.0720564784545024,12.0322388024311,0.717679682058807,1,"lmo2734"
"1196",0.0195634064046109,8.58260214587725,0.911376618818409,1,"lmo2735"
"1198",-0.0763279117363474,11.1159102005774,0.553687426171004,1,"lmo2741"
"12",-0.0924419653662469,10.8254238238586,0.571875984780429,1,"lmo0023"
"120",0.181646255575187,8.74867824092731,0.235913461642485,1,"lmo0253"
"1200",-0.0360711765611308,10.1261769092959,0.785281293414719,1,"lmo2749"
"1202",-0.00929547971099812,11.5393495308171,0.964249420920477,1,"lmo2751"
