,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
565,19.66554415,-1.760168461,0.76312361,-2.306531257,0.021080966,0.857491457
576,59.39577114,-1.209485234,0.616848342,-1.960749752,0.049908222,0.857491457
619,16.53711662,-1.56776452,0.763189027,-2.05422833,0.039953598,0.857491457
664,18.62133856,-1.702922972,0.763306077,-2.230983117,0.025682247,0.857491457
667,13.61131679,-1.406516586,0.763917705,-1.841188621,0.065593922,0.857491457
673,18.42590454,-1.701910632,0.763200053,-2.229966607,0.02574966,0.857491457
699,22.85735857,-1.889260397,0.763068603,-2.475872274,0.013291112,0.857491457
748,18.65532565,-1.714210415,0.763325942,-2.245712246,0.024722445,0.857491457
764,30.85118668,-1.432601688,0.739414419,-1.937481406,0.052686524,0.857491457
801,17.09969964,-1.597239544,0.763154377,-2.092944223,0.036354134,0.857491457
803,14.20229659,-1.425520636,0.76322356,-1.867762883,0.061795129,0.857491457
817,16.8317404,-1.616001845,0.763191677,-2.117425928,0.034223716,0.857491457
825,30.3351408,-1.403164817,0.740296269,-1.895409819,0.058038129,0.857491457
835,18.05348236,-1.656216249,0.764044422,-2.167696276,0.030181803,0.857491457
875,15.63977643,-1.527268151,0.763186689,-2.001172416,0.045373812,0.857491457
891,44.00781305,0.99090309,0.508977547,1.946850301,0.051552684,0.857491457
930,24.20025748,-1.921195971,0.76339339,-2.516652615,0.011847558,0.857491457
944,17.85722497,-1.652702356,0.764487248,-2.161844243,0.030630184,0.857491457
981,92.53476833,-0.96150466,0.505724008,-1.901243851,0.05727008,0.857491457
1056,60.95229759,-1.270090318,0.617742319,-2.056019604,0.039780627,0.857491457
1096,15.9112929,-1.529711593,0.763424593,-2.003749431,0.045096908,0.857491457
1133,20.3749237,-1.794969768,0.763470364,-2.351066725,0.018719677,0.857491457
1202,43.47707846,-1.271460072,0.673920432,-1.886662002,0.059205802,0.857491457
1212,74.00929409,-1.192622485,0.572593489,-2.082843252,0.037265514,0.857491457
1240,25.49066151,-1.985729004,0.762977981,-2.602603291,0.009251894,0.857491457
1249,23.86996644,-1.911933931,0.763504286,-2.504156121,0.012274386,0.857491457
1253,29.32504762,-2.10358131,0.762922593,-2.757267027,0.005828673,0.857491457
10,17.55177738,-0.768174144,0.759665156,-1.011200971,0.311920251,0.903402997
26,92.22676172,-0.70455264,0.481271059,-1.463941425,0.143209953,0.903402997
28,30.00337653,-0.790821004,0.693339231,-1.140597516,0.254037452,0.903402997
29,131.0681952,-0.325860954,0.390918032,-0.833578722,0.40451842,0.903402997
41,24.19721401,-1.190349697,0.74703881,-1.593424172,0.111065067,0.903402997
48,7.554024695,-0.81820522,0.76437439,-1.07042469,0.284428191,0.903402997
49,18.18645053,-0.842800436,0.757470439,-1.112651256,0.265858238,0.903402997
56,10.97911279,-1.172485304,0.763194935,-1.536285489,0.124468377,0.903402997
60,30.22309916,0.518142997,0.615770456,0.841454786,0.400093205,0.903402997
63,39.49322169,-0.557145558,0.638108089,-0.873120976,0.382597142,0.903402997
65,17.86880687,-0.811204082,0.758890397,-1.068934439,0.285099212,0.903402997
67,27.6089322,0.621669279,0.620975937,1.001116536,0.316770472,0.903402997
70,6.111289771,-0.70306333,0.763631254,-0.920684331,0.357215259,0.903402997
71,6.406718006,-0.717075297,0.763472773,-0.939228381,0.347613501,0.903402997
73,20.61573623,-0.923850197,0.755774661,-1.222388425,0.221560775,0.903402997
74,17.99330358,-0.812777308,0.758444124,-1.071637688,0.283882799,0.903402997
75,1.371457585,0.751952174,0.768931322,0.977918512,0.328114629,0.903402997
80,33.70984351,0.90880969,0.583678583,1.557037925,0.119461481,0.903402997
81,6.491202262,-0.709610979,0.764764408,-0.927881804,0.353468884,0.903402997
82,26.25398594,-1.20715017,0.746591858,-1.616880974,0.105903976,0.903402997
83,20.23786366,-0.950013314,0.754308182,-1.259449833,0.2078679,0.903402997
92,13.06591625,-1.363031014,0.763409649,-1.785451646,0.074188088,0.903402997
95,86.02254676,-0.525673955,0.482286081,-1.08996294,0.275729469,0.903402997
107,27.72729355,-0.588879616,0.700447058,-0.840719666,0.400505001,0.903402997
111,18.02182175,-0.789200489,0.759546932,-1.039041112,0.298785616,0.903402997
116,7.439574939,0.770826609,0.763808957,1.009187706,0.312884622,0.903402997
