GeneID,S7,S6,S5,S23,S24,S25,S26,S27,S20,S21,S22,S28,S29,S30,S31,S32,S33,S8,S34
cysE,0,0,0,1251,129,593,91,29,606,594,263,115,488,738,238,1,0,0,0
cysS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nusG,0,0,0,261,28.5,110.5,10,5,108.5,93.5,38,12.5,83,126,38.5,0,0,0,1
lmo0247,0,0,0,1162,82.5,418.5,62,23,485.5,445.5,180,76.5,348,472,196.5,1,0,0,0
lmo0252,0,0,0,1392,98,452,90,49,560,482,213,99,431,549,224,0,0,0,0
lmo0253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0253,0,0,0,625,48,227,35,12,183,222,96,40,184,234,121,0,1,0,0
lmo0266,0,0,0,1201,87,484,80,21,553,467,229,78,369,519,203,2,1,0,0
lmo0267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0279,0,0,0,3971.5,346,1545,227,134,1722,1679,759,298.5,1221.5,1890.5,676.5,1,1,0,0
lmo0280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0280,0,0,0,440.5,49,160,19,14,218,184,81,34.5,135.5,210.5,82.5,1,0,0,0
lmo0284,0,0,0,2021.5,180,840,96.5,90.5,922,832.5,350.5,156,641.5,975.5,376,1,2,0,1
lmo0283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0285,0,0,0,2017.5,125,671,109,42.5,749,713.5,294.5,103,586.5,797.5,303,1,1,0,0
lmo0288,0,0,0,3468,279,1364,150.5,122,1500,1376,643,270,1113,1681,630,0,0,0,1
lmo0289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0299,0,0,0,859,69,344,39,17,387,285,122,63,289,450,119,1,0,0,2
lmo0298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0301,0,0,0,950,89,381,50,19,405,363,158,58,272,434,151,1,1,0,1
lmo0300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0304,0,0,0,3033,235,1061,158,68,1139.5,1125,498,175,1004,1231,461,2,1,0,0
lmo0305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0305,0,0,0,674,42,225,35,18,240.5,212,72,49,207,247,101,0,0,0,0
lmo0311,0,0,0,2433,170,778,159,43,783,855,382,136,770,794,320,1,0,0,0
lmo0312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0315,0,0,0,1824,191,850,116,60,838,781,341,146,643,919,302,2,1,0,0
lmo0316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0335,0,0,0,1085,86,438,55,39,474,430,183,72,366,493,174,1,3,0,0
lmo0336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0339,0,0,0,967.67,73.83,372.67,60.83,15.5,405.33,377.83,157,62.83,307,434.5,160.67,0.5,0,0,0
lmo0340,0,0,0,459.17,49.83,187.17,22.83,12,207.33,212.83,68.5,39.83,144,196.5,84.17,0.5,0,0,0
lmo0340,0,0,0,290.17,41.33,127.17,18.33,2.5,131.33,118.33,57.5,15.33,92,140,53.17,0,0,0,0
lmo0343,0,0,0,1199,107,508,74,42,633,538,273.5,87,412,731,218,1,0,0,1
lmo0342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0347,0,0,0,1183,109,512,56,31,563,531,257.5,85,382,642,201,0,1,0,0
lmo0346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0357,0,0,0,1013,85.5,347,68.5,34.5,427.5,397.5,171.5,86,351.5,424.5,165.5,0,1,0,1
lmo0358,0,0,0,2833,238.5,1167,209.5,89.5,1280.5,1200.5,513.5,218,889.5,1295.5,482.5,0,1,0,0
lmo0359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0362,0,0,0,661,48,241,32,14,299,261,104,52,210,332,98,2,0,0,0
lmo0361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0372,0,0,0,2477,213,1080,154,109,1136,1152,510,323,875,1226,443,2,0,0,0
lmo0373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0383,0,0,0,2021,218,935,141,70,982,909.83,392,161,740.33,1174.5,363.5,0,0,0,0
lmo0384,0,0,0,1248.5,103.5,528,68.5,30.5,581,529.83,249,82.5,389.83,694.5,217.5,2,2,0,0
lmo0385,0,0,0,1343.5,131.5,622.5,73,37,626,597.83,315,114,487.83,737.5,258,1,1,0,0
lmo0386,0,0,0,3406.5,294,1490.5,191,115,1509,1482.5,694,241,1162,1734,542.5,3,3,0,1
