"number","logFC","logCPM","PValue","FDR","GeneID"
"1048",12.1048840786082,13.8601396923875,5.27222415110638e-08,6.01203624972937e-07,"lmo2355"
"1050",11.8670201658118,13.6173239909051,7.63855805584939e-07,5.00042643100511e-06,"lmo2362"
"1051",2.32541733239907,13.7621129497374,0.000176640183842451,0.000380745762123819,"lmo2363"
"1052",8.68641127685556,10.4928231863279,0.268942016686226,0.274866823496115,"lmo2363"
"1053",2.15126153849029,13.5937731809972,0.000327880882683095,0.000626518335289049,"lmo2371"
"1055",9.31748679246973,11.1090791733541,0.0242907733742409,0.0296607543619832,"lmo2372"
"1056",12.9429189204849,14.6785211382742,3.72790268358812e-12,2.02740553638215e-10,"lmo2378"
"106",11.1896046420072,12.9536553832314,7.34092286052344e-05,0.000188044654434423,"lmo0229"
"1063",11.7881918467534,13.5386440753125,2.60509541668813e-06,1.30529887541358e-05,"lmo2403"
"1065",11.0754541639178,12.8501888849099,7.09450421891237e-05,0.000183881861704903,"lmo2404"
"1067",10.4220251842166,12.1908854698174,0.00211279335598516,0.00318495714857464,"lmo2408"
"107",11.5813912302918,13.3349800558382,1.01922804767252e-05,4.02566608773448e-05,"lmo0230"
"1070",11.9372870268841,13.6996190048957,1.1800505490145e-07,1.07809104332603e-06,"lmo2414"
"1072",11.6095019138639,13.3717301568396,2.62167525189149e-06,1.30529887541358e-05,"lmo2419"
"1074",11.4105831686701,13.167257999017,3.19228165056068e-05,9.52296678036457e-05,"lmo2422"
"1076",9.42470300612973,11.2125155020331,0.06620119571963,0.0748867925980455,"lmo2429"
"1078",11.3738084672892,13.1312507642707,6.36955455389589e-05,0.000170578601121379,"lmo2431"
"1080",11.4392080698901,13.1984930929246,2.54963045588459e-05,8.19358514686549e-05,"tpi"
"1082",11.0857212768764,12.8607366017856,7.16492478958522e-05,0.000184875979059735,"lmo2464"
"1085",11.2624500669948,13.0184738710612,9.49444328362324e-05,0.000229882582243891,"lmo2474"
"1087",11.5236668186842,13.2863445787124,6.28655476383953e-06,2.65824696935369e-05,"lmo2481"
"1089",10.3459873448059,12.1208359817537,0.00512013233515305,0.00700180572718221,"lmo2485"
"109",11.6901966318815,13.4495871854956,2.28580593995662e-06,1.18828294084509e-05,"lmo0235"
"1091",12.5405516075366,14.2889379883461,1.68310639193686e-10,5.17372269173634e-09,"uvrB"
"1093",11.5484467041554,13.2998248959456,1.11921289407996e-05,4.34771162700291e-05,"lmo2498"
"1095",9.4494241513486,11.2440097652222,0.0447388640342534,0.0519382214650527,"phoR"
"1096",1.60993129595696,13.0604819832589,0.00625282679755534,0.00846886694611422,"phoP"
"1098",11.4148519155615,13.1723357733631,2.99752105670976e-05,9.1204990111524e-05,"ftsE"
"1101",2.64831688059455,14.0804318141944,1.17272650312825e-05,4.45762170812727e-05,"comFA"
"1103",11.423665121103,13.1828293707725,2.0335548844161e-05,6.88124509253356e-05,"lmo2516"
"1105",11.6569693922569,13.4192651419838,2.56804229373486e-06,1.30529887541358e-05,"lmo2521"
"1107",11.052447799769,12.8227800889374,0.000147515711533976,0.000325917525170378,"atpF"
"1109",11.0039587994235,12.7805054604696,0.000119115285014222,0.000276113136082146,"atpI"
"111",11.1022333523758,12.871607735544,4.23935154523809e-05,0.000119888861699333,"cysE"
"1111",11.7105024225957,13.4746490589455,1.32102050597684e-06,7.84841594727419e-06,"lmo2541"
"1113",9.19210117035363,10.994175543294,0.0804111183819536,0.0892475050173331,"lmo2542"
"1114",11.9434962598121,13.6991071727895,2.0623716513065e-07,1.65143299546772e-06,"prf1"
"1116",9.23511329272939,11.02512065701,0.117206022984576,0.125651426826194,"thrB"
